"Artwork","Subject2","Type"
"http://icondataset.org/ART1233","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1233","http://icondataset.org/son-of-the-widow-of-nain","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1452","http://icondataset.org/mercury","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1257","http://icondataset.org/aion/phanes","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1150","http://icondataset.org/saint-john-the-evangelist","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1004test","http://icondataset.org/cerberus","http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object"
"http://icondataset.org/ART1004test","http://icondataset.org/proserpina","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1004test","http://icondataset.org/pluto","http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object"
"http://icondataset.org/ART1004test","http://icondataset.org/pluto","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1004test","http://icondataset.org/cerberus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1352","http://icondataset.org/angels","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1352","http://icondataset.org/saint-paul","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1352","http://icondataset.org/moses","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1352","http://icondataset.org/pope-julius-ii","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1066","http://icondataset.org/europas-companions","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1420","http://icondataset.org/gods-hand","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1198","http://icondataset.org/fedro","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1144","http://icondataset.org/people/virgil","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1144","http://icondataset.org/people/virgil","http://www.cidoc-crm.org/cidoc-crm/E21_Person"
"http://icondataset.org/ART1046","http://icondataset.org/argus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1046","http://icondataset.org/mercury","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1329","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1329","http://icondataset.org/venus-coelestis","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1329","http://icondataset.org/geminae-veneres","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1329","http://icondataset.org/venus-vulgaris","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/satyr","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/aglauros","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/olympian-gods","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/zeus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/saint-theodora-of-alexandria","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/mercury-hermes","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/herse","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1315","http://icondataset.org/athene","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1319","http://icondataset.org/anteros","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1319","http://icondataset.org/anteros","http://www.cidoc-crm.org/cidoc-crm/E35_Title"
"http://icondataset.org/ART1319","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1269","http://icondataset.org/the-children-of-saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1269","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1003test","http://icondataset.org/the-young-mago-caspar","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1003test","http://icondataset.org/member-of-the-procession","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1259","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1162","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1162","http://icondataset.org/apostles","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1294","http://icondataset.org/jest","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1294","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1260","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1121","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1526","http://icondataset.org/archangel-gabriel","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1365","http://icondataset.org/giuliano-de-medici","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1292","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1043","http://icondataset.org/apollo","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1043","http://icondataset.org/jupiter","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1043","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1043","http://icondataset.org/the-three-graces","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1043","http://icondataset.org/apollo","http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object"
"http://icondataset.org/ART1064","http://icondataset.org/thisbe","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1113","http://icondataset.org/simeon","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1132","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1203","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1203","http://icondataset.org/mercury","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1203","http://icondataset.org/natural-venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1203","http://icondataset.org/the-three-graces","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1538","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1535","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1000","http://icondataset.org/jupiter","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1000","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1354","http://icondataset.org/presbyter-bruno","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1192","http://icondataset.org/roman-emperors","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1338","http://icondataset.org/mars","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1338","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1338","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1516","http://icondataset.org/apollo-medicus-or-aesculapius","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1065","http://icondataset.org/the-three-graces","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1385","http://icondataset.org/silenus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1385","http://icondataset.org/female-pan","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1268","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1123","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1123","http://icondataset.org/venus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1054","http://icondataset.org/hecuba","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1054","http://icondataset.org/troilus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1019","http://icondataset.org/perseus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1289","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1009test","http://icondataset.org/archangel-gabriel","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1009test","http://icondataset.org/mary","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1077","http://icondataset.org/people/saint-luke","http://www.cidoc-crm.org/cidoc-crm/E21_Person"
"http://icondataset.org/ART1077","http://icondataset.org/people/saint-luke","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1147","http://icondataset.org/mercury","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1264","http://icondataset.org/christ","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1534","http://icondataset.org/saturn","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1202","http://icondataset.org/venus-pudica","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1202","http://icondataset.org/venus-coelestis","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1291","http://icondataset.org/cupid","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1252","http://icondataset.org/centaur","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1124","http://icondataset.org/sisyphus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1124","http://icondataset.org/tantalus","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1124","http://icondataset.org/ixion","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1419","http://icondataset.org/apollo","http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object"
"http://icondataset.org/ART1419","http://icondataset.org/apollo","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1419","http://icondataset.org/companion-of-serapis","https://w3id.org/icon/ontology/Character"
"http://icondataset.org/ART1254","http://icondataset.org/prometheus","https://w3id.org/icon/ontology/Character"
