"Date","Artwork","Level1Representation"
"XI Century","http://icondataset.org/ART1041","killing a serpent"
"XI Century","http://icondataset.org/ART1041","staff"
"XI Century","http://icondataset.org/ART1041","serpent"
"XI Century","http://icondataset.org/ART1041","bird"
"XI Century","http://icondataset.org/ART1041","man"
"XV Century","http://icondataset.org/ART1147","cleric"
"XV Century","http://icondataset.org/ART1147","reading"
"XV Century","http://icondataset.org/ART1147","book"
"XV Century","http://icondataset.org/ART1147","holding"
"XV Century","http://icondataset.org/ART1147","musical instrument"
"XV Century","http://icondataset.org/ART1021","playing music"
"XV Century","http://icondataset.org/ART1021","man"
"XV Century","http://icondataset.org/ART1021","flute"
"XV Century","http://icondataset.org/ART1021","staff"
"XV Century","http://icondataset.org/ART1021","serpents"
"XV Century","http://icondataset.org/ART1021","wings"
"XV Century","http://icondataset.org/ART1021","lance"
"XV Century","http://icondataset.org/ART1021","sword"
"XV Century","http://icondataset.org/ART1021","cutten head"
"XV Century","http://icondataset.org/ART1021","eyes"
"XV Century","http://icondataset.org/ART1203","man"
"XV Century","http://icondataset.org/ART1203","indifference"
"XV Century","http://icondataset.org/ART1203","raising the right hand"
"XV Century","http://icondataset.org/ART1203","stick with two coiled snakes"
"XV Century","http://icondataset.org/ART1203","endeavoring to dispel the wisps of mist"
"XV Century","http://icondataset.org/ART1203","mist"
"XV Century","http://icondataset.org/ART1046","man"
"XV Century","http://icondataset.org/ART1046","cock"
"XV Century","http://icondataset.org/ART1046","flute"
"XV Century","http://icondataset.org/ART1046","playing music"
"XV Century","http://icondataset.org/ART1046","sword"
"XV Century","http://icondataset.org/ART1033","man"
"XV Century","http://icondataset.org/ART1033","riding a horse"
"XV Century","http://icondataset.org/ART1033","horse"
"XV Century","http://icondataset.org/ART1033","protecting people below"
"XVI Century","http://icondataset.org/ART1201","man"
"XVI Century","http://icondataset.org/ART1201","winged hat"
"XVI Century","http://icondataset.org/ART1316","man"
"XV Century","http://icondataset.org/ART1034","man"
"XV Century","http://icondataset.org/ART1034","sitting down"
"XV Century","http://icondataset.org/ART1034","rainbow"
"XV Century","http://icondataset.org/ART1034","sky"
"XIV Century","http://icondataset.org/ART1030","bishop"
"XIV Century","http://icondataset.org/ART1030","crosier"
"XIV Century","http://icondataset.org/ART1030","book"
"XIV Century","http://icondataset.org/ART1030","holding"
"XV Century","http://icondataset.org/ART1315","man"
