"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1045","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1045","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1048","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1048","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1050","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1050","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1052","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1052","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1053","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1053","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1054","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1054","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1055","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1055","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1056","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1056","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1057","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1057","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1058","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1058","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1064","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1064","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1066","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1066","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1141","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1141","http://icondataset.org/CF1242","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1142","http://icondataset.org/CF1242","http://icondataset.org/formal-or-stylistic-evolution"
