"NaturalElement","Link"
"roundel",""
"rude branches and twigs",""
"ruins",""
"sarcophagi",""
"sarcophagus",""
"sarcophagus used as a fountain",""
"satyr",""
"satyr baby",""
"savage",""
"saw",""
"saws",""
"sceptre",""
"sceptre crowned with a sphere",""
"scholar",""
"scimitar",""
"scourge",""
"scroll",""
"sculptor's journeyman",""
"sculptor's wife",""
"scythe",""
"sea",""
"sea goose",""
"sea goose with a fish tail",""
"seashell",""
"seat",""
"second platform",""
"sella gestatoria",""
"sepulchral monument",""
"serpent",""
"serpent locks",""
"serpent tail",""
"servant","https://iconclass.org/31A56"
"shadowed face",""
"shaved nape",""
"sheep",""
"shepherd","https://iconclass.org/35"
"shepherdess",""
"shield",""
"shipwreck",""
"shovel",""
"sickle",""
"side wall",""
"signs of civilization",""
"skeleton","https://iconclass.org/31A21"
"sketch of a human figure",""
"skin",""
"skullcap",""
"sky",""
"slate",""
"slave",""
"snake",""
"snake biting its tail",""
"soap-bubble",""
"solar disc",""
"soldier",""
"space",""
"spade",""
"spear",""
"sphere",""
"spheres of clouds",""
"sphinx","https://iconclass.org/31A45231 @ https://iconclass.org/31A4523"
"spiral",""
"square",""
"staff",""
"stag's head",""
"stake",""
"star",""
"statue",""
"statue of a man",""
"statue of a woman",""
"statue of a pagan god",""
"statue of a putto",""
"statue of a slave",""
"statuette",""
"stick",""
"stone",""
"storm",""
"stove",""
"string of hearts",""
"sun",""
"sun-dial",""
"swan","https://iconclass.org/34B2331"
"swarm of bees",""
"sword",""
"syrinx",""
"tabernacle",""
"table",""
"talon",""
"target",""
"teacher",""
"temple",""
"thigs",""
"three dog heads",""
"three headed figure","https://iconclass.org/31A4421"
"three headed serpent",""
"throne",""
"thunderbolt",""
"tiara",""
"tief",""
"toga",""
"tomb",""
"tombstone",""
"tomo",""
"tongs",""
"torch",""
"tower",""
"tracery",""
"treasure chest",""
"tree",""
"tree trunk",""
"tree-trunk with a twisted vine",""
"triangular gable",""
"trident",""
"triumphal arch",""
"trophy",""
"trumpet",""
"trunk",""
"tube",""
"tuft of hair on the forehead",""
"turban",""
"turret",""
"twins",""
"griffon paw",""
"lion paw",""
"two-storied superstructure",""
"unicorn",""
"universe",""
"urn",""
"vase with fire",""
"vat of wine",""
"veil",""
"vessel",""
"vulture",""
"wall tomb",""
"wasp",""
"water",""
"weapon",""
"wheel",""
"wild animal",""
"wild landscape",""
"wine-jug",""
"winged bull",""
"winged creature",""
"winged hat",""
"winged horse",""
"wings",""
"wings at the heels",""
"wings on the head",""
"wolf",""
"woman",""
"woman face",""
"woman with goat legs",""
"wooden leg",""
"wood",""
"woven materials",""
"wreath",""
"writings",""
"young",""
"zodiac",""
"stick with two coiled snakes",""
"human baby with animal legs",""
"human figure with animal legs",""
"creature with human upper body and legs and lower body of horse",""
